League,PICK_FINAL,count,hit,MARKET,hit_adj_mkt
England - League One,BTTS_No,33,0.6363636363636364,BTTS,0.6295943134535368
England - League One,BTTS_Yes,72,0.6805555555555556,BTTS,0.675538603791031
England - League One,MS1,38,0.6052631578947368,1X2,0.6051207068193131
England - League One,MS2,10,0.4,1X2,0.4469191522762952
England - League One,Over2.5,21,0.5714285714285714,OU,0.5704001212488633
England - League One,Under2.5,104,0.49038461538461536,OU,0.4924261954203058
England - League One,X,11,0.09090909090909091,1X2,0.2007106413994169
England - League Two,BTTS_No,24,0.4583333333333333,BTTS,0.4690887142343453
England - League Two,BTTS_Yes,88,0.5113636363636364,BTTS,0.5128065415860146
England - League Two,MS1,27,0.5555555555555556,1X2,0.5603316326530613
England - League Two,MS2,3,0.3333333333333333,1X2,0.46832482993197283
England - League Two,Over2.5,31,0.4838709677419355,OU,0.4908706738227271
England - League Two,Under2.5,102,0.5588235294117647,OU,0.5589485991425973
England - League Two,X,11,0.2727272727272727,1X2,0.3435677842565598
England - Premier League,BTTS_No,9,0.6666666666666666,BTTS,0.6387829403606102
England - Premier League,BTTS_Yes,68,0.5441176470588235,BTTS,0.5445830321736242
England - Premier League,MS1,43,0.7209302325581395,1X2,0.7132597604259093
England - Premier League,MS2,25,0.64,1X2,0.6360696064139942
England - Premier League,Over2.5,47,0.6382978723404256,OU,0.6337920581994544
England - Premier League,Under2.5,20,0.55,OU,0.5517218656509878
England - Premier League,X,2,0.5,1X2,0.5619897959183674
Europe - Champions League,BTTS_No,8,0.625,BTTS,0.6059450258479384
Europe - Champions League,BTTS_Yes,29,0.6206896551724138,BTTS,0.6145436026352289
Europe - Champions League,MS1,39,0.7435897435897436,1X2,0.7335702137998057
Europe - Champions League,MS2,11,0.5454545454545454,1X2,0.5578534985422741
Europe - Champions League,Over2.5,48,0.7083333333333334,OU,0.6997961354896611
Europe - Champions League,Under2.5,11,0.2727272727272727,OU,0.33497163642662275
Europe - Europa League,BTTS_No,4,0.75,BTTS,0.6664850406181889
Europe - Europa League,BTTS_Yes,32,0.5625,BTTS,0.5618684366950664
Europe - Europa League,MS1,47,0.6595744680851063,1X2,0.6561989795918366
Europe - Europa League,MS2,3,0.0,1X2,0.30165816326530615
Europe - Europa League,Over2.5,17,0.4117647058823529,OU,0.4344801454986359
Europe - Europa League,Under2.5,20,0.45,OU,0.4647653439118573
Europe - Europa League,X,3,0.3333333333333333,1X2,0.46832482993197283
France - Ligue 1,BTTS_No,3,0.0,BTTS,0.2775658807212205
France - Ligue 1,BTTS_Yes,53,0.5471698113207547,BTTS,0.547596344362988
France - Ligue 1,MS1,38,0.7631578947368421,1X2,0.7514621702339472
France - Ligue 1,MS2,9,0.6666666666666666,1X2,0.6508290816326531
France - Ligue 1,Over2.5,40,0.525,OU,0.527665183952854
France - Ligue 1,Under2.5,7,0.5714285714285714,OU,0.5689602909972719
France - Ligue 1,X,7,0.14285714285714285,1X2,0.2809948979591837
France - Ligue 2,BTTS_No,18,0.3888888888888889,BTTS,0.41263787068225344
France - Ligue 2,BTTS_Yes,40,0.625,BTTS,0.6201254717285424
France - Ligue 2,MS1,26,0.6538461538461539,1X2,0.648618930330753
France - Ligue 2,MS2,4,0.5,1X2,0.5442784256559767
France - Ligue 2,Over2.5,18,0.5555555555555556,OU,0.5566477576177485
France - Ligue 2,Under2.5,44,0.5227272727272727,OU,0.5253107002121855
France - Ligue 2,X,7,0.42857142857142855,1X2,0.4809948979591837
Germany - 2 Bundesliga,BTTS_No,2,0.5,BTTS,0.5330790568654646
Germany - 2 Bundesliga,BTTS_Yes,69,0.6086956521739131,BTTS,0.6064638233934351
Germany - 2 Bundesliga,MS1,19,0.7894736842105263,1X2,0.7640885899814471
Germany - 2 Bundesliga,MS2,4,0.0,1X2,0.258564139941691
Germany - 2 Bundesliga,Over2.5,51,0.5686274509803921,OU,0.5683259798143097
Germany - 2 Bundesliga,Under2.5,13,0.38461538461538464,OU,0.4181001818732949
Germany - 2 Bundesliga,X,5,0.6,1X2,0.6012436224489797
Germany - Bundesliga,BTTS_No,6,0.5,BTTS,0.518377253814147
Germany - Bundesliga,BTTS_Yes,65,0.49230769230769234,BTTS,0.4950793424165783
Germany - Bundesliga,MS1,22,0.7272727272727273,1X2,0.7123979591836735
Germany - Bundesliga,MS2,9,0.5555555555555556,1X2,0.5674957482993198
Germany - Bundesliga,Over2.5,47,0.5106382978723404,OU,0.5137920581994543
Germany - Bundesliga,Under2.5,8,0.5,OU,0.517236628179338
Germany - Bundesliga,X,2,0.0,1X2,0.3619897959183674
Greece - Super League,BTTS_No,8,0.75,BTTS,0.6968541167570294
Greece - Super League,BTTS_Yes,27,0.5555555555555556,BTTS,0.5555131761442441
Greece - Super League,MS1,28,0.7857142857142857,1X2,0.7680628703094141
Greece - Super League,MS2,14,0.6428571428571429,1X2,0.6358793517406963
Greece - Super League,Over2.5,2,0.0,OU,0.3379205819945438
Greece - Super League,Under2.5,38,0.5526315789473685,OU,0.553404949023725
Greece - Super League,X,8,0.375,1X2,0.4372680890538034
India - Super League,BTTS_No,1,1.0,BTTS,0.6663488210818308
India - Super League,BTTS_Yes,27,0.5185185185185185,BTTS,0.5221798428109108
India - Super League,MS1,6,0.8333333333333334,1X2,0.7566609977324263
India - Super League,MS2,1,0.0,1X2,0.4524872448979592
India - Super League,Over2.5,5,0.4,OU,0.46120036374658985
India - Super League,Under2.5,4,0.5,OU,0.5270861299961027
Italy - Serie A,BTTS_No,10,0.4,BTTS,0.4357996372559479
Italy - Serie A,BTTS_Yes,45,0.6,BTTS,0.5971957350901526
Italy - Serie A,MS1,31,0.6451612903225806,1X2,0.6414690876350541
Italy - Serie A,MS2,20,0.65,1X2,0.6439108251996452
Italy - Serie A,Over2.5,12,0.3333333333333333,OU,0.37930686066484787
Italy - Serie A,Under2.5,64,0.625,OU,0.6222328792533242
Italy - Serie A,X,18,0.3333333333333333,1X2,0.37190233236151604
Italy - Serie B,BTTS_No,12,0.5833333333333334,BTTS,0.5776930189551549
Italy - Serie B,BTTS_Yes,46,0.6086956521739131,BTTS,0.6054162302923943
Italy - Serie B,MS1,21,0.5714285714285714,1X2,0.5754145408163266
Italy - Serie B,MS2,1,0.0,1X2,0.4524872448979592
Italy - Serie B,Over2.5,7,0.42857142857142855,OU,0.4689602909972718
Italy - Serie B,Under2.5,79,0.4810126582278481,OU,0.48401954768259414
Italy - Serie B,X,21,0.3333333333333333,1X2,0.3670812074829932
Japan - J1 League,BTTS_No,15,0.5333333333333333,BTTS,0.5369664046848512
Japan - J1 League,BTTS_Yes,41,0.4878048780487805,BTTS,0.49239534737107554
Japan - J1 League,MS1,25,0.64,1X2,0.6360696064139942
Japan - J1 League,MS2,3,0.6666666666666666,1X2,0.6349914965986395
Japan - J1 League,Over2.5,20,0.3,OU,0.3343305613031617
Japan - J1 League,Under2.5,81,0.6790123456790124,OU,0.6748762251187228
Japan - J1 League,X,12,0.08333333333333333,1X2,0.18732993197278913
Mexico - Liga MX,BTTS_No,5,0.4,BTTS,0.4581744105409154
Mexico - Liga MX,BTTS_Yes,53,0.7169811320754716,BTTS,0.7083106300772737
Mexico - Liga MX,MS1,45,0.6888888888888889,1X2,0.6835406037414966
Mexico - Liga MX,MS2,5,0.4,1X2,0.4762436224489796
Mexico - Liga MX,Over2.5,22,0.6363636363636364,OU,0.6275841163989088
Mexico - Liga MX,Under2.5,29,0.4482758620689655,OU,0.45905009093664745
Mexico - Liga MX,X,5,0.0,1X2,0.2262436224489796
Mexico - Liga de Expansion,BTTS_No,3,0.0,BTTS,0.2775658807212205
Mexico - Liga de Expansion,BTTS_Yes,34,0.5882352941176471,BTTS,0.5855512239007385
Mexico - Liga de Expansion,MS1,33,0.7878787878787878,1X2,0.7724985827664399
Mexico - Liga de Expansion,MS2,2,0.0,1X2,0.3619897959183674
Mexico - Liga de Expansion,Over2.5,17,0.4117647058823529,OU,0.4344801454986359
Mexico - Liga de Expansion,Under2.5,21,0.42857142857142855,OU,0.44540012124886325
Mexico - Liga de Expansion,X,7,0.42857142857142855,1X2,0.4809948979591837
Netherlands - Eerste,BTTS_No,10,0.4,BTTS,0.4357996372559479
Netherlands - Eerste,BTTS_Yes,64,0.625,BTTS,0.6218715714078705
Netherlands - Eerste,MS1,39,0.6923076923076923,1X2,0.685951166180758
Netherlands - Eerste,MS2,3,1.0,1X2,0.8016581632653063
Netherlands - Eerste,Over2.5,65,0.6307692307692307,OU,0.6277882780878341
Netherlands - Eerste,Under2.5,3,0.6666666666666666,OU,0.6149338183287865
Netherlands - Eerste,X,4,0.0,1X2,0.258564139941691
Netherlands - Eredivisie,BTTS_No,4,0.75,BTTS,0.6664850406181889
Netherlands - Eredivisie,BTTS_Yes,39,0.5897435897435898,BTTS,0.5872713162935077
Netherlands - Eredivisie,MS1,43,0.7441860465116279,1X2,0.7349988908606921
Netherlands - Eredivisie,MS2,16,0.625,1X2,0.6215762620837809
Netherlands - Eredivisie,Over2.5,40,0.625,OU,0.6206884397668074
Netherlands - Eredivisie,Under2.5,18,0.6111111111111112,OU,0.6042668052367961
Netherlands - Eredivisie,X,7,0.2857142857142857,1X2,0.3809948979591837
Norway - Eliteserien,BTTS_No,6,0.3333333333333333,BTTS,0.4072661427030359
Norway - Eliteserien,BTTS_Yes,31,0.6451612903225806,BTTS,0.6372175083625684
Norway - Eliteserien,MS1,29,0.7586206896551724,1X2,0.7440609056122449
Norway - Eliteserien,MS2,3,0.3333333333333333,1X2,0.46832482993197283
Norway - Eliteserien,Over2.5,32,0.71875,OU,0.7054172259992205
Norway - Eliteserien,Under2.5,13,0.6923076923076923,OU,0.6681001818732949
Norway - Eliteserien,X,1,1.0,1X2,0.7024872448979592
Paraguay - Primera,BTTS_No,26,0.5769230769230769,BTTS,0.5746688029078386
Paraguay - Primera,BTTS_Yes,9,0.8888888888888888,BTTS,0.8054496070272769
Paraguay - Primera,MS1,17,0.5294117647058824,1X2,0.5404974489795918
Paraguay - Primera,MS2,6,0.6666666666666666,1X2,0.6455498866213153
Paraguay - Primera,Over2.5,7,0.2857142857142857,OU,0.3689602909972719
Paraguay - Primera,Under2.5,57,0.5964912280701754,OU,0.594826715166212
Paraguay - Primera,X,12,0.4166666666666667,1X2,0.4539965986394558
Peru - Liga1,BTTS_No,2,1.0,BTTS,0.7330790568654646
Peru - Liga1,BTTS_Yes,45,0.5333333333333333,BTTS,0.5346957350901526
Peru - Liga1,MS1,48,0.6875,1X2,0.682548019207683
Peru - Liga1,MS2,7,0.7142857142857143,1X2,0.6809948979591838
Peru - Liga1,Over2.5,9,0.4444444444444444,OU,0.47413357583105986
